generic_name,drug_category
ASPIRIN,Cardiovascular
ASPIRIN/CAFFEIN/DIHYDROCODEINE,Cardiovascular
ASPIRIN/DIPYRIDAMOLE,Cardiovascular
ASPIRIN/OMEPRAZOLE,Cardiovascular
ATAZANAVIR SULFATE,Other/Supportive Care
ATAZANAVIR SULFATE/COBICISTAT,Other/Supportive Care
ATENOLOL,Other/Supportive Care
ATENOLOL/CHLORTHALIDONE,Other/Supportive Care
ATEZOLIZUMAB,Other/Supportive Care
ATOMOXETINE HCL,Other/Supportive Care
ATORVASTATIN CALCIUM,Cardiovascular
ATOVAQUONE,Other/Supportive Care
ATOVAQUONE/PROGUANIL HCL,Other/Supportive Care
ATROPINE SULFATE,Other/Supportive Care
AURANOFIN,Other/Supportive Care
AXITINIB,Other/Supportive Care
AZACITIDINE,Other/Supportive Care
AZATHIOPRINE,Immunosuppressants/Biologics
AZELAIC ACID,Other/Supportive Care
AZELASTINE HCL,Other/Supportive Care
AZELASTINE/FLUTICASONE,Respiratory/Pulmonary
AZILSARTAN MED/CHLORTHALIDONE,Other/Supportive Care
AZILSARTAN MEDOXOMIL,Other/Supportive Care
AZITHROMYCIN,Antibiotics/Antiinfectives
AZTREONAM,Other/Supportive Care
AZTREONAM LYSINE,Other/Supportive Care
AZTREONAM/DEXTROSE-WATER,Other/Supportive Care
B COMP NO3/FOLIC/C/BIOTIN/ZINC,Other/Supportive Care
B COMPLEX W-C NO.20/FOLIC ACID,Other/Supportive Care
BACITRACIN,Other/Supportive Care
BACITRACIN/POLYMYXIN B SULFATE,Other/Supportive Care
BACLOFEN,Pain/Analgesics/Antiinflammatory
BALANCED SALT IRRIG SOLN NO.2,Other/Supportive Care
BALSALAZIDE DISODIUM,Other/Supportive Care
BCG LIVE,Other/Supportive Care
"BCG VACCINE, LIVE/PF",Other/Supportive Care
BECAPLERMIN,Other/Supportive Care
BECLOMETHASONE DIPROPIONATE,Respiratory/Pulmonary
BEDAQUILINE FUMARATE,Other/Supportive Care
BELATACEPT,Other/Supportive Care
BELIMUMAB,Other/Supportive Care
BELINOSTAT,Other/Supportive Care
BENAZEPRIL HCL,Other/Supportive Care
BENAZEPRIL/HYDROCHLOROTHIAZIDE,Cardiovascular
BENDAMUSTINE HCL,Other/Supportive Care
BENZONATATE,Other/Supportive Care
BENZTROPINE MESYLATE,Other/Supportive Care
BEPOTASTINE BESILATE,Other/Supportive Care
BESIFLOXACIN HCL,Other/Supportive Care
BETAINE,Other/Supportive Care
"BETAMETHASONE ACETATE,SOD PHOS",Other/Supportive Care
BETAMETHASONE DIPROPIONATE,Other/Supportive Care
BETAMETHASONE VALERATE,Other/Supportive Care
BETAMETHASONE/PROPYLENE GLYC,Other/Supportive Care
BETAXOLOL HCL,Other/Supportive Care
BETHANECHOL CHLORIDE,Other/Supportive Care
BEVACIZUMAB,Oncology
BEXAROTENE,Other/Supportive Care
BEZLOTOXUMAB,Other/Supportive Care
BICALUTAMIDE,Other/Supportive Care
BIMATOPROST,Other/Supportive Care
BISMUTH/METRONID/TETRACYCLINE,Antibiotics/Antiinfectives
BISOPROLOL FUMARATE,Other/Supportive Care
BISOPROLOL/HYDROCHLOROTHIAZIDE,Cardiovascular
BLEOMYCIN SULFATE,Other/Supportive Care
BLINATUMOMAB,Other/Supportive Care
BORTEZOMIB,Oncology
BOSENTAN,Other/Supportive Care
BOSUTINIB,Other/Supportive Care
BREXPIPRAZOLE,Other/Supportive Care
BRIGATINIB,Other/Supportive Care
BRIMONIDINE TARTRATE,Other/Supportive Care
BRIMONIDINE TARTRATE/TIMOLOL,Other/Supportive Care
BRINZOLAMIDE,Other/Supportive Care
BRINZOLAMIDE/BRIMONIDINE TART,Other/Supportive Care
BRIVARACETAM,Other/Supportive Care
BRODALUMAB,Other/Supportive Care
BROMFENAC SODIUM,Other/Supportive Care
BROMOCRIPTINE MESYLATE,Other/Supportive Care
BROMPHENIRAMINE/PSEUDOEPHED/DM,Other/Supportive Care
BUDESONIDE,Respiratory/Pulmonary
BUDESONIDE/FORMOTEROL FUMARATE,Respiratory/Pulmonary
BUMETANIDE,Other/Supportive Care
BUPIVACAINE HCL,Other/Supportive Care
BUPIVACAINE HCL/PF,Other/Supportive Care
BUPRENORPHINE,Other/Supportive Care
BUPRENORPHINE HCL,Other/Supportive Care
BUPRENORPHINE HCL/NALOXONE HCL,Other/Supportive Care
BUPROPION HBR,Neurological/Neuropsychiatric
BUPROPION HCL,Neurological/Neuropsychiatric
BUSPIRONE HCL,Other/Supportive Care
BUSULFAN,Other/Supportive Care
BUTABARBITAL SODIUM,Other/Supportive Care
BUTALB/ACETAMINOPHEN/CAFFEINE,Pain/Analgesics/Antiinflammatory
BUTALBIT/ACETAMIN/CAFF/CODEINE,Pain/Analgesics/Antiinflammatory
BUTALBITAL/ACETAMINOPHEN,Pain/Analgesics/Antiinflammatory
BUTALBITAL/ASPIRIN/CAFFEINE,Cardiovascular
BUTENAFINE HCL,Other/Supportive Care
BUTOCONAZOLE NITRATE,Other/Supportive Care
BUTORPHANOL TARTRATE,Other/Supportive Care
C1 ESTERASE INHIBITOR,Other/Supportive Care
"C1 ESTERASE INHIBITOR, RECOMB",Other/Supportive Care
CABAZITAXEL,Oncology
CABERGOLINE,Other/Supportive Care
CABOZANTINIB S-MALATE,Other/Supportive Care
CALCIFEDIOL,Other/Supportive Care
CALCIPOTRIENE,Other/Supportive Care
CALCIPOTRIENE/BETAMETHASONE,Other/Supportive Care
"CALCITONIN,SALMON,SYNTHETIC",Other/Supportive Care
CALCITRIOL,Other/Supportive Care
CALCIUM ACETATE,Other/Supportive Care
CALCIUM CARB/MAG CARB/FOLIC AC,Other/Supportive Care
CALCIUM GLUCONATE,Other/Supportive Care
CANAGLIFLOZIN,Other/Supportive Care
CANAGLIFLOZIN/METFORMIN HCL,Endocrine/Metabolic
CANAKINUMAB/PF,Other/Supportive Care
CANDESARTAN CILEXETIL,Other/Supportive Care
