generic_name,drug_category
EMPAGLIFLOZIN/METFORMIN HCL,Endocrine/Metabolic
EMTRICITA/RILPIVIRINE/TENOF DF,Other/Supportive Care
EMTRICITAB/RILPIVIRI/TENOF ALA,Other/Supportive Care
EMTRICITABINE,Other/Supportive Care
EMTRICITABINE/TENOFOV ALAFENAM,Other/Supportive Care
EMTRICITABINE/TENOFOVIR (TDF),Other/Supportive Care
ENALAPRIL MALEATE,Cardiovascular
ENALAPRIL/HYDROCHLOROTHIAZIDE,Cardiovascular
ENASIDENIB MESYLATE,Other/Supportive Care
ENFUVIRTIDE,Other/Supportive Care
ENOXAPARIN SODIUM,Other/Supportive Care
ENTACAPONE,Other/Supportive Care
ENTECAVIR,Other/Supportive Care
ENZALUTAMIDE,Other/Supportive Care
EPINASTINE HCL,Other/Supportive Care
EPINEPHRINE,Other/Supportive Care
EPIRUBICIN HCL,Other/Supportive Care
EPLERENONE,Other/Supportive Care
EPOETIN ALFA,Other/Supportive Care
EPOPROSTENOL SODIUM (ARGININE),Other/Supportive Care
EPOPROSTENOL SODIUM (GLYCINE),Other/Supportive Care
EPROSARTAN MESYLATE,Other/Supportive Care
ERGOCALCIFEROL (VITAMIN D2),Other/Supportive Care
ERGOLOID MESYLATES,Other/Supportive Care
ERGOTAMINE TARTRATE,Other/Supportive Care
ERGOTAMINE TARTRATE/CAFFEINE,Other/Supportive Care
ERIBULIN MESYLATE,Other/Supportive Care
ERLOTINIB HCL,Oncology
ERTAPENEM SODIUM,Other/Supportive Care
ERYTHROMYCIN BASE,Antibiotics/Antiinfectives
ERYTHROMYCIN BASE/ETHANOL,Antibiotics/Antiinfectives
ERYTHROMYCIN ETHYLSUCCINATE,Antibiotics/Antiinfectives
ERYTHROMYCIN LACTOBIONATE,Antibiotics/Antiinfectives
ERYTHROMYCIN STEARATE,Antibiotics/Antiinfectives
ERYTHROMYCIN/BENZOYL PEROXIDE,Antibiotics/Antiinfectives
ESCITALOPRAM OXALATE,Neurological/Neuropsychiatric
ESLICARBAZEPINE ACETATE,Other/Supportive Care
ESOMEPRAZOLE MAGNESIUM,Gastrointestinal
ESOMEPRAZOLE SODIUM,Gastrointestinal
ESTAZOLAM,Other/Supportive Care
ESTRADIOL,Other/Supportive Care
ESTRADIOL ACETATE,Other/Supportive Care
ESTRADIOL CYPIONATE,Other/Supportive Care
ESTRADIOL VALERATE,Other/Supportive Care
ESTRADIOL VALERATE/DIENOGEST,Other/Supportive Care
ESTRADIOL/LEVONORGESTREL,Endocrine/Metabolic
ESTRADIOL/NORETHINDRONE ACET,Other/Supportive Care
ESTRADIOL/NORGESTIMATE,Other/Supportive Care
ESTRAMUSTINE PHOSPHATE SODIUM,Other/Supportive Care
"ESTROGEN,CON/M-PROGEST ACET",Endocrine/Metabolic
"ESTROGENS, CONJUGATED",Endocrine/Metabolic
"ESTROGENS,CONJ.,SYNTHETIC B",Endocrine/Metabolic
"ESTROGENS,CONJ/BAZEDOXIFENE",Endocrine/Metabolic
"ESTROGENS,ESTERIFIED",Endocrine/Metabolic
ESTROPIPATE,Other/Supportive Care
ESZOPICLONE,Other/Supportive Care
ETANERCEPT,Immunosuppressants/Biologics
ETEPLIRSEN,Other/Supportive Care
ETHACRYNIC ACID,Other/Supportive Care
ETHAMBUTOL HCL,Other/Supportive Care
ETHINYL ESTRADIOL/DROSPIRENONE,Other/Supportive Care
ETHIONAMIDE,Other/Supportive Care
ETHOSUXIMIDE,Other/Supportive Care
ETHOTOIN,Other/Supportive Care
ETHYNODIOL D-ETHINYL ESTRADIOL,Other/Supportive Care
ETIDRONATE DISODIUM,Other/Supportive Care
ETODOLAC,Other/Supportive Care
ETONOGESTREL,Other/Supportive Care
ETONOGESTREL/ETHINYL ESTRADIOL,Other/Supportive Care
ETOPOSIDE,Other/Supportive Care
ETRAVIRINE,Other/Supportive Care
EVEROLIMUS,Other/Supportive Care
EVOLOCUMAB,Other/Supportive Care
EXEMESTANE,Other/Supportive Care
EXENATIDE,Endocrine/Metabolic
EXENATIDE MICROSPHERES,Endocrine/Metabolic
EZETIMIBE,Other/Supportive Care
EZETIMIBE/SIMVASTATIN,Cardiovascular
EZOGABINE,Other/Supportive Care
FAMCICLOVIR,Other/Supportive Care
FAMOTIDINE,Gastrointestinal
"FAMOTIDINE IN NACL,ISO-OSM/PF",Gastrointestinal
FAMOTIDINE/PF,Gastrointestinal
FAT EMUL/SOY/MCT/OLIV/FISH OIL,Other/Supportive Care
FAT EMULSIONS,Other/Supportive Care
FEBUXOSTAT,Other/Supportive Care
FELBAMATE,Other/Supportive Care
FELODIPINE,Other/Supportive Care
FENOFIBRATE,Other/Supportive Care
FENOFIBRATE NANOCRYSTALLIZED,Other/Supportive Care
"FENOFIBRATE,MICRONIZED",Other/Supportive Care
FENOFIBRIC ACID,Other/Supportive Care
FENOFIBRIC ACID (CHOLINE),Other/Supportive Care
FENOPROFEN CALCIUM,Other/Supportive Care
FENTANYL,Pain/Analgesics/Antiinflammatory
FENTANYL CITRATE,Pain/Analgesics/Antiinflammatory
FENTANYL CITRATE/PF,Pain/Analgesics/Antiinflammatory
FERRIC CITRATE,Other/Supportive Care
FESOTERODINE FUMARATE,Other/Supportive Care
FEXOFENADINE HCL,Other/Supportive Care
FIBRINOGEN,Other/Supportive Care
FIDAXOMICIN,Other/Supportive Care
FILGRASTIM,Other/Supportive Care
FILGRASTIM-SNDZ,Other/Supportive Care
FINASTERIDE,Other/Supportive Care
FINGOLIMOD HCL,Immunosuppressants/Biologics
FLAVOXATE HCL,Other/Supportive Care
FLECAINIDE ACETATE,Other/Supportive Care
FLOXURIDINE,Other/Supportive Care
FLUCONAZOLE,Antibiotics/Antiinfectives
"FLUCONAZOLE IN DEXTROSE,ISO-OS",Antibiotics/Antiinfectives
"FLUCONAZOLE IN NACL,ISO-OSM",Antibiotics/Antiinfectives
FLUCYTOSINE,Other/Supportive Care
FLUDARABINE PHOSPHATE,Other/Supportive Care
FLUDROCORTISONE ACETATE,Other/Supportive Care
FLUMAZENIL,Other/Supportive Care
FLUNISOLIDE,Other/Supportive Care
FLUOCINOLONE ACETONIDE,Other/Supportive Care
FLUOCINOLONE ACETONIDE OIL,Other/Supportive Care
FLUOCINOLONE/SHOWER CAP,Other/Supportive Care
FLUOCINONIDE,Other/Supportive Care
FLUOCINONIDE/EMOLLIENT BASE,Other/Supportive Care
FLUORIDE (SODIUM),Other/Supportive Care
FLUOROMETHOLONE,Other/Supportive Care
FLUOROMETHOLONE ACETATE,Other/Supportive Care
FLUOROURACIL,Oncology
FLUOXETINE HCL,Neurological/Neuropsychiatric
FLUOXYMESTERONE,Other/Supportive Care
FLUPHENAZINE DECANOATE,Other/Supportive Care
FLUPHENAZINE HCL,Other/Supportive Care
FLURANDRENOLIDE,Other/Supportive Care
FLURAZEPAM HCL,Other/Supportive Care
FLURBIPROFEN,Other/Supportive Care
FLURBIPROFEN SODIUM,Other/Supportive Care
FLUTAMIDE,Other/Supportive Care
FLUTICASONE FUROATE,Respiratory/Pulmonary
FLUTICASONE PROPIONATE,Respiratory/Pulmonary
FLUTICASONE/SALMETEROL,Respiratory/Pulmonary
FLUTICASONE/UMECLIDIN/VILANTER,Respiratory/Pulmonary
FLUTICASONE/VILANTEROL,Respiratory/Pulmonary
FLUVASTATIN SODIUM,Cardiovascular
FLUVOXAMINE MALEATE,Other/Supportive Care
FOLIC ACID,Other/Supportive Care
FOLIC ACID/B CPLX/C/SELEN/ZINC,Other/Supportive Care
FOLIC ACID/VIT B COMPLEX AND C,Other/Supportive Care
FONDAPARINUX SODIUM,Other/Supportive Care
FORMOTEROL FUMARATE,Respiratory/Pulmonary
FOSAMPRENAVIR CALCIUM,Other/Supportive Care
FOSAPREPITANT DIMEGLUMINE,Other/Supportive Care
FOSFOMYCIN TROMETHAMINE,Other/Supportive Care
FOSINOPRIL SODIUM,Other/Supportive Care
FOSINOPRIL/HYDROCHLOROTHIAZIDE,Cardiovascular
FOSPHENYTOIN SODIUM,Neurological/Neuropsychiatric
FROVATRIPTAN SUCCINATE,Other/Supportive Care
FULVESTRANT,Other/Supportive Care
FUROSEMIDE,Cardiovascular
GABAPENTIN,Neurological/Neuropsychiatric
GABAPENTIN ENACARBIL,Neurological/Neuropsychiatric
GALANTAMINE HBR,Other/Supportive Care
GALSULFASE,Other/Supportive Care
GANCICLOVIR,Antibiotics/Antiinfectives
GANCICLOVIR SODIUM,Antibiotics/Antiinfectives
GATIFLOXACIN,Other/Supportive Care
GAUZE BANDAGE,Other/Supportive Care
GEFITINIB,Oncology
GEMCITABINE HCL,Other/Supportive Care
GEMFIBROZIL,Other/Supportive Care
"GENTAMICIN IN NACL, ISO-OSM",Other/Supportive Care
GENTAMICIN SULF/PREDNISOLONE,Other/Supportive Care
GENTAMICIN SULFATE,Other/Supportive Care
GENTAMICIN SULFATE/PF,Other/Supportive Care
GLATIRAMER ACETATE,Other/Supportive Care
GLECAPREVIR/PIBRENTASVIR,Other/Supportive Care
GLIMEPIRIDE,Other/Supportive Care
GLIPIZIDE,Endocrine/Metabolic
GLIPIZIDE/METFORMIN HCL,Endocrine/Metabolic
GLUCAGON HCL,Endocrine/Metabolic
"GLUCAGON,HUMAN RECOMBINANT",Endocrine/Metabolic
GLYBURIDE,Endocrine/Metabolic
"GLYBURIDE,MICRONIZED",Endocrine/Metabolic
GLYBURIDE/METFORMIN HCL,Endocrine/Metabolic
GLYCEROL PHENYLBUTYRATE,Other/Supportive Care
GLYCOPYRROLATE,Other/Supportive Care
GLYCOPYRROLATE/FORMOTEROL FUM,Respiratory/Pulmonary
GOLIMUMAB,Other/Supportive Care
GOSERELIN ACETATE,Other/Supportive Care
GR POL-ORC/SW VER/RYE/KENT/TIM,Other/Supportive Care
GRANISETRON,Gastrointestinal
GRANISETRON HCL,Gastrointestinal
GRANISETRON HCL/PF,Gastrointestinal
"GRASS POLLEN-TIMOTHY, STANDARD",Other/Supportive Care
GRISEOFULVIN ULTRAMICROSIZE,Other/Supportive Care
"GRISEOFULVIN, MICROSIZE",Other/Supportive Care
GUANFACINE HCL,Other/Supportive Care
GUANIDINE HCL,Other/Supportive Care
GUSELKUMAB,Other/Supportive Care
HAEMOPH B POLY CONJ-TET TOX/PF,Other/Supportive Care
HAEMPH B POLYSAC CONJ-MENIN/PF,Other/Supportive Care
HALCINONIDE,Other/Supportive Care
HALOBETASOL PROPIONATE,Other/Supportive Care
HALOPERIDOL,Neurological/Neuropsychiatric
HALOPERIDOL DECANOATE,Neurological/Neuropsychiatric
HALOPERIDOL LACTATE,Neurological/Neuropsychiatric
HEP B VACCINE/DP(A)T-POLIO/PF,Other/Supportive Care
"HEPARIN SOD,PORK IN 0.45% NACL",Other/Supportive Care
"HEPARIN SODIUM,PORCINE",Other/Supportive Care
"HEPARIN SODIUM,PORCINE/D5W",Other/Supportive Care
"HEPARIN SODIUM,PORCINE/PF",Other/Supportive Care
HEPATITIS A AND B VACCINE/PF,Other/Supportive Care
HEPATITIS A VIRUS VACCINE/PF,Other/Supportive Care
HEPATITIS B IMMUN GLOB/MALTOSE,Other/Supportive Care
HEPATITIS B IMMUNE GLOBULIN,Other/Supportive Care
HEPATITIS B VIRUS VACCINE/PF,Other/Supportive Care
HISTRELIN ACETATE,Other/Supportive Care
HOMATROPINE HBR,Other/Supportive Care
HPV VACCINE 9-VALENT/PF,Other/Supportive Care
"HUMAN PAPILOMVIRUS VAC,QVAL/PF",Other/Supportive Care
HYDRALAZINE HCL,Other/Supportive Care
HYDROCHLOROTHIAZIDE,Cardiovascular
HYDROCODONE BIT/HOMATROP ME-BR,Pain/Analgesics/Antiinflammatory
HYDROCODONE BITARTRATE,Pain/Analgesics/Antiinflammatory
HYDROCODONE/ACETAMINOPHEN,Pain/Analgesics/Antiinflammatory
HYDROCODONE/CHLORPHEN P-STIREX,Pain/Analgesics/Antiinflammatory
HYDROCODONE/IBUPROFEN,Pain/Analgesics/Antiinflammatory
"HYDROCORT/MIN OIL/PETROLAT,WHT",Other/Supportive Care
HYDROCORTISONE,Dermatological
HYDROCORTISONE ACETATE,Dermatological
HYDROCORTISONE BUTYRATE,Dermatological
HYDROCORTISONE BUTYRATE/EMOLL,Dermatological
HYDROCORTISONE PROBUTATE,Dermatological
HYDROCORTISONE SOD SUCCINATE,Dermatological
HYDROCORTISONE SODIUM SUCC/PF,Dermatological
HYDROCORTISONE VALERATE,Dermatological
HYDROCORTISONE/ACETIC ACID,Dermatological
HYDROCORTISONE/PRAMOXINE,Dermatological
HYDROMORPHONE HCL,Pain/Analgesics/Antiinflammatory
HYDROMORPHONE HCL/PF,Pain/Analgesics/Antiinflammatory
HYDROXYCHLOROQUINE SULFATE,Other/Supportive Care
HYDROXYPROGESTERONE CAPROAT/PF,Endocrine/Metabolic
HYDROXYPROGESTERONE CAPROATE,Endocrine/Metabolic
HYDROXYPROPYL CELLULOSE,Other/Supportive Care
HYDROXYUREA,Other/Supportive Care
HYDROXYZINE HCL,Other/Supportive Care
HYDROXYZINE PAMOATE,Other/Supportive Care
HYOSCYAMINE SULFATE,Gastrointestinal
IBANDRONATE SODIUM,Other/Supportive Care
IBRUTINIB,Other/Supportive Care
IBUPROFEN,Pain/Analgesics/Antiinflammatory
IBUPROFEN/FAMOTIDINE,Gastrointestinal
IBUPROFEN/OXYCODONE HCL,Pain/Analgesics/Antiinflammatory
ICATIBANT ACETATE,Other/Supportive Care
ICOSAPENT ETHYL,Other/Supportive Care
IDELALISIB,Other/Supportive Care
IDURSULFASE,Other/Supportive Care
IFOSFAMIDE,Other/Supportive Care
"IGG/HYALURONIDASE,RECOMBINANT",Other/Supportive Care
ILOPERIDONE,Other/Supportive Care
ILOPROST TROMETHAMINE,Other/Supportive Care
IMATINIB MESYLATE,Oncology
IMIGLUCERASE,Other/Supportive Care
IMIPENEM/CILASTATIN SODIUM,Other/Supportive Care
IMIPRAMINE HCL,Other/Supportive Care
IMIPRAMINE PAMOATE,Other/Supportive Care
IMIQUIMOD,Other/Supportive Care
IMM GLOB G (IGG)/SORB/IGA 0-50,Other/Supportive Care
IMMUN GLOB G(IGG)/GLY/IGA 0-50,Other/Supportive Care
IMMUN GLOB G(IGG)/GLY/IGA OV50,Other/Supportive Care
IMMUN GLOB G(IGG)/PRO/IGA 0-50,Other/Supportive Care
IMMUN GLOB G/GLY/GLUC/IGA 0-50,Other/Supportive Care
IMMUN GLOB G/SORB/GLY/IGA 0-50,Other/Supportive Care
IMMUN GLOBG(IGG)/MALT/IGA OV50,Other/Supportive Care
IMMUN GLOBG(IGG)/SUCR/IGA OV50,Other/Supportive Care
IMMUNE GLOBUL G (IGG)/GLYCINE,Other/Supportive Care
IMMUNE GLOBUL G/GLY/IGA AVG 46,Other/Supportive Care
INCOBOTULINUMTOXINA,Other/Supportive Care
INDACATEROL MALEATE,Other/Supportive Care
INDACATEROL/GLYCOPYRROLATE,Other/Supportive Care
INDAPAMIDE,Other/Supportive Care
INDINAVIR SULFATE,Other/Supportive Care
INDOMETHACIN,Pain/Analgesics/Antiinflammatory
"INDOMETHACIN, SUBMICRONIZED",Pain/Analgesics/Antiinflammatory
INFLIXIMAB,Immunosuppressants/Biologics
INFLIXIMAB-DYYB,Immunosuppressants/Biologics
INGENOL MEBUTATE,Other/Supportive Care
INSULIN ADMIN. SUPPLIES,Endocrine/Metabolic
INSULIN ASPART,Endocrine/Metabolic
INSULIN ASPART PROT/INSULN ASP,Endocrine/Metabolic
INSULIN DEGLUDEC,Endocrine/Metabolic
INSULIN DEGLUDEC/LIRAGLUTIDE,Endocrine/Metabolic
INSULIN DETEMIR,Endocrine/Metabolic
"INSULIN GLARGINE,HUM.REC.ANLOG",Endocrine/Metabolic
INSULIN GLARGINE/LIXISENATIDE,Endocrine/Metabolic
INSULIN GLULISINE,Endocrine/Metabolic
INSULIN LISPRO,Endocrine/Metabolic
INSULIN LISPRO PROTAMIN/LISPRO,Endocrine/Metabolic
INSULIN NPH HUM/REG INSULIN HM,Endocrine/Metabolic
INSULIN NPH HUMAN ISOPHANE,Endocrine/Metabolic
INSULIN PUMP CARTRIDGE,Endocrine/Metabolic
"INSULIN REGULAR, HUMAN",Endocrine/Metabolic
"INTERFERON ALFA-2B,RECOMB.",Other/Supportive Care
INTERFERON BETA-1A,Other/Supportive Care
INTERFERON BETA-1A/ALBUMIN,Immunosuppressants/Biologics
INTERFERON BETA-1B,Other/Supportive Care
"INTERFERON GAMMA-1B,RECOMB.",Other/Supportive Care
IPILIMUMAB,Other/Supportive Care
IPRATROPIUM BROMIDE,Respiratory/Pulmonary
IPRATROPIUM/ALBUTEROL SULFATE,Respiratory/Pulmonary
IRBESARTAN,Other/Supportive Care
IRBESARTAN/HYDROCHLOROTHIAZIDE,Cardiovascular
IRINOTECAN HCL,Other/Supportive Care
IRINOTECAN LIPOSOMAL,Other/Supportive Care
"IRON CARB,GL/FA/B12/C/DOCUSATE",Gastrointestinal
"IRON FUM,PS/FOLIC ACID/VITC/B3",Other/Supportive Care
"IRON FUM/FOLIC ACID/MV,MIN 15",Other/Supportive Care
"IRON,FM,PS/FOLIC/B,C18/L.CASEI",Other/Supportive Care
ISAVUCONAZONIUM SULFATE,Other/Supportive Care
ISOCARBOXAZID,Other/Supportive Care
ISONIAZID,Other/Supportive Care
ISOSORBIDE DINIT/HYDRALAZINE,Cardiovascular
ISOSORBIDE DINITRATE,Cardiovascular
ISOSORBIDE MONONITRATE,Cardiovascular
ISOTRETINOIN,Dermatological
ISRADIPINE,Other/Supportive Care
ITRACONAZOLE,Antibiotics/Antiinfectives
IVABRADINE HCL,Other/Supportive Care
IVACAFTOR,Other/Supportive Care
IVERMECTIN,Dermatological
IXABEPILONE,Other/Supportive Care
IXAZOMIB CITRATE,Other/Supportive Care
IXEKIZUMAB,Other/Supportive Care
JAPANESE ENCEPHALITIS VACC/PF,Other/Supportive Care
KETOCONAZOLE,Dermatological
KETOPROFEN,Other/Supportive Care
KETOROLAC TROMETHAMINE,Pain/Analgesics/Antiinflammatory
KETOROLAC TROMETHAMINE/PF,Pain/Analgesics/Antiinflammatory
L-NORGEST/E.ESTRADIOL-E.ESTRAD,Other/Supportive Care
LABETALOL HCL,Cardiovascular
LACOSAMIDE,Other/Supportive Care
LACTULOSE,Gastrointestinal
LAMIVUDINE,Other/Supportive Care
LAMIVUDINE/ZIDOVUDINE,Other/Supportive Care
LAMOTRIGINE,Neurological/Neuropsychiatric
LANCETS,Other/Supportive Care
LANREOTIDE ACETATE,Other/Supportive Care
LANSOPRAZOLE,Gastrointestinal
LANSOPRAZOLE/AMOXICILN/CLARITH,Gastrointestinal
LANTHANUM CARBONATE,Other/Supportive Care
LAPATINIB DITOSYLATE,Oncology
LARONIDASE,Other/Supportive Care
LATANOPROST,Other/Supportive Care
LATANOPROSTENE BUNOD,Other/Supportive Care
LEDIPASVIR/SOFOSBUVIR,Other/Supportive Care
LEFLUNOMIDE,Other/Supportive Care
LENALIDOMIDE,Oncology
LENVATINIB MESYLATE,Other/Supportive Care
LESINURAD,Other/Supportive Care
LESINURAD/ALLOPURINOL,Other/Supportive Care
LETROZOLE,Other/Supportive Care
LEUCOVORIN CALCIUM,Other/Supportive Care
LEUPROLIDE ACETATE,Other/Supportive Care
LEUPROLIDE/NORETHINDRONE ACET,Other/Supportive Care
LEVALBUTEROL HCL,Respiratory/Pulmonary
LEVALBUTEROL TARTRATE,Respiratory/Pulmonary
LEVETIRACETAM,Neurological/Neuropsychiatric
LEVETIRACETAM IN NACL (ISO-OS),Neurological/Neuropsychiatric
LEVOBUNOLOL HCL,Other/Supportive Care
LEVOCARNITINE,Other/Supportive Care
LEVOCARNITINE (WITH SUGAR),Other/Supportive Care
LEVOCETIRIZINE DIHYDROCHLORIDE,Other/Supportive Care
LEVOFLOXACIN,Antibiotics/Antiinfectives
LEVOFLOXACIN IN DEXTROSE 5 %,Antibiotics/Antiinfectives
LEVOLEUCOVORIN CALCIUM,Other/Supportive Care
LEVOMILNACIPRAN HCL,Other/Supportive Care
LEVONORGESTREL,Endocrine/Metabolic
LEVONORGESTREL-ETHIN ESTRADIOL,Endocrine/Metabolic
LEVORPHANOL TARTRATE,Other/Supportive Care
LEVOTHYROXINE SODIUM,Endocrine/Metabolic
LIDOCAINE,Other/Supportive Care
LIDOCAINE HCL,Other/Supportive Care
LIDOCAINE HCL/EPINEPHRINE,Other/Supportive Care
LIDOCAINE HCL/PF,Other/Supportive Care
LIDOCAINE/HYDROCORTISONE AC,Dermatological
LIDOCAINE/PRILOCAINE,Other/Supportive Care
LIDOCAINE/TETRACAINE,Other/Supportive Care
LIFITEGRAST,Other/Supportive Care
LINACLOTIDE,Other/Supportive Care
LINAGLIPTIN,Endocrine/Metabolic
LINAGLIPTIN/METFORMIN HCL,Endocrine/Metabolic
LINCOMYCIN HCL,Other/Supportive Care
LINDANE,Dermatological
LINEZOLID,Other/Supportive Care
LINEZOLID-0.9% SODIUM CHLORIDE,Other/Supportive Care
LIOTHYRONINE SODIUM,Endocrine/Metabolic
LIPASE/PROTEASE/AMYLASE,Other/Supportive Care
LIRAGLUTIDE,Endocrine/Metabolic
LISDEXAMFETAMINE DIMESYLATE,Other/Supportive Care
LISINOPRIL,Cardiovascular
LISINOPRIL/HYDROCHLOROTHIAZIDE,Cardiovascular
LITHIUM CARBONATE,Neurological/Neuropsychiatric
LITHIUM CITRATE,Neurological/Neuropsychiatric
LIXISENATIDE,Other/Supportive Care
LODOXAMIDE TROMETHAMINE,Other/Supportive Care
LOMITAPIDE MESYLATE,Other/Supportive Care
LOMUSTINE,Other/Supportive Care
LOPERAMIDE HCL,Gastrointestinal
LOPINAVIR/RITONAVIR,Other/Supportive Care
LORAZEPAM,Neurological/Neuropsychiatric
LORCASERIN HCL,Other/Supportive Care
LOSARTAN POTASSIUM,Other/Supportive Care
LOSARTAN/HYDROCHLOROTHIAZIDE,Cardiovascular
LOTEPREDNOL ETABONATE,Other/Supportive Care
LOVASTATIN,Cardiovascular
LOXAPINE SUCCINATE,Other/Supportive Care
LUBIPROSTONE,Other/Supportive Care
LULICONAZOLE,Other/Supportive Care
LUMACAFTOR/IVACAFTOR,Other/Supportive Care
LURASIDONE HCL,Other/Supportive Care
MACITENTAN,Other/Supportive Care
MAFENIDE ACETATE,Other/Supportive Care
MAGNESIUM SULFATE,Other/Supportive Care
MAGNESIUM SULFATE IN WATER,Other/Supportive Care
MAGNESIUM SULFATE/D5W,Other/Supportive Care
MALATHION,Other/Supportive Care
MANNITOL,Other/Supportive Care
MAPROTILINE HCL,Other/Supportive Care
MARAVIROC,Other/Supportive Care
"MEASLES,MUMPS,RUB,VARICELLA/PF",Other/Supportive Care
"MEASLES,MUMPS,RUBELLA VACC/PF",Other/Supportive Care
MEBENDAZOLE,Other/Supportive Care
MECAMYLAMINE HCL,Other/Supportive Care
MECHLORETHAMINE HCL,Other/Supportive Care
MECLIZINE HCL,Other/Supportive Care
MECLOFENAMATE SODIUM,Other/Supportive Care
MEDROXYPROGESTERONE ACETATE,Endocrine/Metabolic
MEFENAMIC ACID,Other/Supportive Care
MEFLOQUINE HCL,Other/Supportive Care
MEGESTROL ACETATE,Other/Supportive Care
MELOXICAM,Pain/Analgesics/Antiinflammatory
"MELOXICAM, SUBMICRONIZED",Pain/Analgesics/Antiinflammatory
MELPHALAN,Other/Supportive Care
MEMANTINE HCL,Other/Supportive Care
MEMANTINE HCL/DONEPEZIL HCL,Other/Supportive Care
"MENING VAC A,C,Y,W-135 DIP/PF",Other/Supportive Care
"MENINGOCOC VAC A,C,Y,W-135/PF",Other/Supportive Care
"MENINGOCOCCAL B VACCINE,4-COMP",Other/Supportive Care
MEPERIDINE HCL,Other/Supportive Care
MEPERIDINE HCL/PF,Other/Supportive Care
MEPOLIZUMAB,Other/Supportive Care
MEPROBAMATE,Other/Supportive Care
MERCAPTOPURINE,Other/Supportive Care
MEROPENEM,Other/Supportive Care
MEROPENEM-0.9% SODIUM CHLORIDE,Other/Supportive Care
MESALAMINE,Other/Supportive Care
MESALAMINE W/CLEANSING WIPES,Other/Supportive Care
MESNA,Other/Supportive Care
METAPROTERENOL SULFATE,Other/Supportive Care
METAXALONE,Other/Supportive Care
METFORMIN HCL,Endocrine/Metabolic
METH/MEBLUE/SOD PHOS/PSAL/HYOS,Other/Supportive Care
METHADONE HCL,Pain/Analgesics/Antiinflammatory
METHAMPHETAMINE HCL,Other/Supportive Care
METHAZOLAMIDE,Other/Supportive Care
METHEN/MBLUE/SAL/SOD PHOS/HYOS,Other/Supportive Care
METHENAM/M.BLUE/SALICYL/HYOSCY,Other/Supportive Care
METHENAM/SOD PHOS/MBLUE/HYOSCY,Other/Supportive Care
METHENAMINE HIPPURATE,Other/Supportive Care
METHENAMINE MANDELATE,Other/Supportive Care
METHIMAZOLE,Endocrine/Metabolic
METHOCARBAMOL,Pain/Analgesics/Antiinflammatory
METHOTREXATE,Other/Supportive Care
METHOTREXATE SODIUM,Other/Supportive Care
METHOTREXATE SODIUM/PF,Other/Supportive Care
METHOTREXATE/PF,Other/Supportive Care
METHOXSALEN,Other/Supportive Care
METHSCOPOLAMINE BROMIDE,Other/Supportive Care
METHSUXIMIDE,Other/Supportive Care
METHYCLOTHIAZIDE,Other/Supportive Care
METHYLDOPA,Other/Supportive Care
METHYLDOPA/HYDROCHLOROTHIAZIDE,Cardiovascular
METHYLERGONOVINE MALEATE,Other/Supportive Care
METHYLNALTREXONE BROMIDE,Other/Supportive Care
METHYLPHENIDATE,Other/Supportive Care
METHYLPHENIDATE HCL,Other/Supportive Care
METHYLPREDNISOLONE,Other/Supportive Care
METHYLPREDNISOLONE ACETATE,Other/Supportive Care
METHYLPREDNISOLONE SOD SUCC,Other/Supportive Care
METHYLPREDNISOLONE SOD SUCC/PF,Other/Supportive Care
METHYLTESTOSTERONE,Endocrine/Metabolic
METOCLOPRAMIDE HCL,Gastrointestinal
METOLAZONE,Other/Supportive Care
METOPROLOL SU/HYDROCHLOROTHIAZ,Cardiovascular
METOPROLOL SUCCINATE,Cardiovascular
METOPROLOL TARTRATE,Cardiovascular
METOPROLOL/HYDROCHLOROTHIAZIDE,Cardiovascular
METRELEPTIN,Other/Supportive Care
METRONIDAZOLE,Antibiotics/Antiinfectives
METRONIDAZOLE/SODIUM CHLORIDE,Antibiotics/Antiinfectives
METYROSINE,Other/Supportive Care
MEXILETINE HCL,Other/Supportive Care
MICAFUNGIN SODIUM,Other/Supportive Care
MICONAZOLE,Antibiotics/Antiinfectives
MICONAZOLE NITRATE,Antibiotics/Antiinfectives
MICONAZOLE NITRATE/ZINC OX/PET,Antibiotics/Antiinfectives
MIDAZOLAM HCL,Other/Supportive Care
MIDAZOLAM HCL/PF,Other/Supportive Care
MIDODRINE HCL,Other/Supportive Care
MIDOSTAURIN,Other/Supportive Care
MIFEPRISTONE,Other/Supportive Care
MIGLITOL,Endocrine/Metabolic
MIGLUSTAT,Other/Supportive Care
MILNACIPRAN HCL,Other/Supportive Care
MILRINONE LACTATE,Other/Supportive Care
MILRINONE LACTATE/D5W,Other/Supportive Care
MINOCYCLINE HCL,Other/Supportive Care
MINOCYCLINE HCL MICROSPHERES,Other/Supportive Care
MINOXIDIL,Other/Supportive Care
MIPOMERSEN SODIUM,Other/Supportive Care
MIRABEGRON,Other/Supportive Care
MIRTAZAPINE,Neurological/Neuropsychiatric
MISOPROSTOL,Other/Supportive Care
MITOMYCIN,Other/Supportive Care
MITOTANE,Other/Supportive Care
MITOXANTRONE HCL,Other/Supportive Care
MODAFINIL,Other/Supportive Care
MOEXIPRIL HCL,Other/Supportive Care
MOEXIPRIL/HYDROCHLOROTHIAZIDE,Cardiovascular
MOLINDONE HCL,Other/Supportive Care
MOMETASONE FUROATE,Respiratory/Pulmonary
